,paperID,categoryID
0,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,cs.AI
1,af063194baee08931f12facdffc573e4bd29c463,cs.CL
2,f2aca403781821618d7a69d98a9fbddccb236081,cs.DB
3,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,cs.AI
4,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,cs.CL
5,8ef2e6b11b519b609bfaa7ed056f621cee15d552,cs.AI
6,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,cs.AI
7,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,cs.LG
8,52995bcade40d1c4f6d661a40bde60a7f8c4425c,cs.AI
9,3721a8bc7aed12e42ed446bee791d3117f32c101,cs.AI
10,ba6d96444b7f65066ba62e66758664f1dcb59aae,cs.AI
11,9ea5874d261359e287eabb735de38a8edba1e091,cs.IR
12,ed315478e4590d2ced5a3e3c849981119f50600e,cs.CL
13,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,cs.AI
14,66a941202042bc808f05504616b5c0bfc7f60603,cs.DB
15,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,cs.LG
16,679f709e2736b0970429a2972f0aea48664bdbc3,cs.CL
17,cb5fdc106ecee0bf90091e0468c1a7388b6eb923,cs.LG
18,90ddb49981e31378025de4e06c2347c174b8b5ae,stat.ML
19,808ed52fa1923f0c7aa53b92d2799f7761250775,cs.AI
20,1909fcceedd2663aa452d67c4c1200651299a8f4,cs.AI
21,91075f524e74bdc618fea689416de22c1cf2a472,cs.AI
22,d7993e014f232a851dc46feb45ec454afe3faa5a,cs.AI
23,8809aa2207bdd26488603ec02389ecef720c9422,cs.LG
24,31184789ef4c3084af930b1e0dede3215b4a9240,cs.CL
25,d1b0f91b0738001fbb1b8e8efb94c33a5e76ae4f,cs.CL
26,ca8f25b6c49c7f34380a7c6623e74f63f3a48771,cs.IR
27,182f055c40bfcff45d0ce6eb68e2d8684d0931dc,cs.CL
28,5925f186996d0135d73aa57305b096c8ef29a817,cs.AI
29,93c6f1fd13bb7d6f96020647de39072506b33df9,cs.AI
30,20fd8eb5a128b72ce8ab8bfee37ddbae87c49237,cs.LG
31,3c183e10dc822ae615d5eb2b6f180958ab12a224,quant-ph
32,b6374540edc2510db74346f28b34f81d472fd98c,cs.AI
33,ef1ef85adc38356023ada0b4abc3db4d395587dd,cs.LG
34,5029b727b3ac4c4819a68db4ad3d1e8b7f89f96f,cs.CL
35,e529d97265f21951163aeed89ce6e96f89231d91,cs.LG
36,b6e33e8bda4838bd43f29d19ba992b91c0ddd710,cs.DL
37,293bdfcefd8100812d6ad43143e33551a70850c1,cs.DB
38,e93565f447a42b158df27ba75385f5e2fc30dde7,cs.LG
39,cb7a543d7fb87df2242f569bbedc1becc5585c1c,cs.LG
40,f36a0c4cb8e084539311974fa40452b305840e93,cs.AI
41,b12967a61cb12f0bea4f2cc232b0e66946c1b47b,cs.DB
42,d31ba388a36fd78990f546c108e0f304e4d012ba,cs.LG
43,48c2e0d87b84efca7f11462bbdac1be1177e2433,cs.LG
44,9acb2df43927a2df64a4b9d39d68ab0a482d05f5,cs.CL
45,a554a1451b0c65463885d630a94b9888afb06c90,cs.AI
46,8adfdceed266d8fc52b1f0e9b8ebe3ce5c4e3bac,cs.DB
47,9fa9d5dd481400b2f3904b33d542d70a6affccb9,cs.CL
48,7eda139d737eea10fc1d95364327a41ec0cee4a4,cs.CL
49,441068ef17c3332d4f0af6c146e37bd8748bb90e,cs.CL
50,69e8c5d46e7447a78728fda863684bc62b06e8cd,cs.AI
51,0d9788fe7ce88ecc85d4e3d666f808cea0cde97d,cs.AI
52,16acc39e6d2e26e8a54bc6fa7305dbdb2b9a24e3,cs.SI
53,7ae13b8ff959331b9872acde519999c20195fc6b,cs.CL
54,ccb055aba5f2f76f23598de0d101844a1a14fb84,cs.CL
55,1f5912131900f958df824db4f9a46ae8b0e00a3c,cs.AI
56,845b4941d8c016aa5f8967da2f86d38ef6c18fa3,cs.CL
57,2275ef93c522a4da59babfd06c0d976480ab5192,cs.CL
58,3f7c241000e1add7e825f287492384708941172b,cs.CL
59,1ed7e6256ac10f80ce184cc3c4cc29ac07720eec,cs.DB
60,a94c3bc52cdbb8b15eb41a06c4ec7513eb1da0f1,cs.CV
61,fff48be5e6ef0cab7e45198a768fc62b9e626be2,cs.AI
62,aeab41199894a0828f4d1cfbdb2089cc1a0449b7,cs.AI
63,1676422146e7141974a3024c0dcc52e8b3f838e8,cs.AI
64,ccbbdb060c4f513600098c60357a1bd781fdf48c,cs.AI
65,793ee43acf3b0fad950125f3f56810e15f73cea7,cs.AI
66,f9a7b62877f25316d64c234e95955c0d7d7b0785,cs.CR
67,d47a322beb3fecd50f5b22c9319221b02e155425,cs.AI
68,f500a89036f43473001459db4c2d2274154146ce,cs.AI
69,326e25f9b889745bce49587130a20d46f96076eb,cs.DL
70,433d704797c2d6a9b3ae67ab94240e1d4aa2b060,cs.LG
71,eef59a967f7248cd8da06ef55a23ce426904cb8b,cs.CL
72,594fbd15851e1c4470a09c6dd032cc005706f707,cs.LG
73,d7d8323bb80aacbcff7253d057aba359beb418f0,cs.CV
